"1","Pelandaba",,"2018-12-19 21:22:43",,,"1","0"
"2","Magwegwe",,"2018-12-19 21:23:06",,,"1","0"
"3","Mahatshula",,"2018-12-19 21:23:23",,,"1","0"
"4","Makokoba",,"2018-12-19 21:23:38",,,"1","0"
"6","City Center",,"2018-12-19 21:45:23",,,"1","0"
"7","Emmanuel",,"2018-12-19 21:45:31",,,"1","0"
"8","Queach",,"2018-12-19 21:45:39",,,"1","0"
"9","Beacon of Hope",,"2018-12-19 21:45:48",,,"1","0"
"11","Solusi University",,"2018-12-19 21:47:55",,,"1","0"
"12","Madhumbeni",,"2018-12-19 21:48:02",,,"1","0"
"13","SAHS",,"2018-12-19 21:48:07",,,"1","0"
"14","Lusaka Church",,"2018-11-01 00:18:25",,,"19","0"
"15","Rusangu",,"2018-11-01 00:18:32",,,"19","0"
"16","Monze",,"2018-11-01 00:18:38",,,"19","0"
"17","Francistown Central Church",,"2019-01-11 06:46:01",,,"1","0"
"18","Pretoria Central","RSA","2019-02-21 09:06:17","98765",,"34","0"
"19","Joburg Central","Johannesburg ","2019-02-21 09:09:24","123457000",,"34","0"
"20","Mamelodi Central","17 Roehampton drive
Apt 6","2019-02-21 09:09:42","8763632477",,"34","0"
"21","Bloemfontein Central","Bloemfontein","2019-02-21 09:09:58","2514415647",,"34","0"
"22","Barquisimeto Central","Avenida Andres Bello","2019-03-05 15:25:04","582512554453",,"47","0"
"23","Iglesia del Este","Urb Luis Hurtado Higuera Carrera 2 entre 2 y 3","2019-03-05 15:25:27","2514415647",,"47","0"
"24","Jabavu ","Crossroads","2019-03-11 12:19:24","762165928",,"34","0"
"25","Mbukwane SDA church","Nhlangano","2019-03-11 12:21:42","76310532",,"33","0"
"26","Durban Central","40 Keats Road","2019-03-11 12:21:49","613548971",,"28","0"
"27","Okuryangava","Windhoek","2019-03-11 12:22:14",,,"32","56"
"28","Mount Mjingo SDA church","Mbekelweni, Manzini","2019-03-11 12:24:22","26876215881",,"33","0"
"29","Wanaheda","windhoek","2019-03-11 12:24:36",,,"32","56"
"30","Siteki SDA church","Siteki","2019-03-11 12:25:37","26876721831",,"33","0"
"31","Bhekuulu ","9 Mboma
 Street","2019-03-11 12:26:07","833808722",,"28","0"
"32","Ongwediva","Ongwediva","2019-03-11 12:27:15","264813918184",,"30","46"
"33","Kwaluseni SDA cHURCH","Kwaluseni, Manzini","2019-03-11 12:27:16","26876060113",,"33","0"
"34","Madadeni South","72 Oats Street","2019-03-11 12:27:57","833872996",,"28","0"
"35","Oshakati","P.O Box 45, Oshakati","2019-03-11 12:28:42","264812398377",,"30","46"
"36","Okandjengedi","P.O Box 45, Oshakati","2019-03-11 12:30:01","264812634997",,"30","46"
"37","GMICC","67 ASHFORD ROAD HEATHFIELD ","2019-03-11 12:30:29","824389033",,"27","0"
"38","Etunda","Etunda, Omusati","2019-03-11 12:31:17","264812880397",,"30","46"
"39","Choto","Choto, Katima Mulilo","2019-03-11 12:33:19",,,"30","53"
"40","Ngweze South","Cowboy, KM","2019-03-11 12:33:57",,,"30","49"
"41","Ngweze","Ngweze, KM","2019-03-11 12:34:44",,,"30","49"
"42","Butterfly","Katima Mulilo
","2019-03-11 12:35:16",,,"30","49"
"43","Boksburg (Afrikaans)","24 Champion street, Boksburg North 1459, South Africs","2019-03-11 12:35:21","118961598",,"31","0"
"44","Ibbu","Ibbu, Zambezi","2019-03-11 12:35:36",,,"30","52"
"45","Bassonia","62-66 Steenbok avenue, Bassonia, South Africa","2019-03-11 12:38:32",,,"31","0"
"46","Sunnyside SDA Church","518 De Kock St, Sunnyside, Pretoria","2019-03-11 13:00:12","736256450",,"31","0"
"47","Metro Mission","Block A Cullinan Place Office Park, 2 Cullinan Close, Morningside 2149","2019-03-11 13:04:10","116166800",,"31","0"
"48","KATIMA CENTRAL","KATIMA MULILO","2019-04-07 09:51:59",,,"30","53"
"49","DIVUNDU","P. O BOX 5222, DIVUNDU","2019-04-07 09:52:55",,,"30","50"
"50","ANDARA","PO BOX 5222, DIVUNDU","2019-04-07 09:53:51",,,"30","50"
"51","MASHESHE","KONGOLA","2019-04-07 09:54:29",,,"30","68"
"52","KENA","KONGOLA","2019-04-07 09:54:45",,,"30","68"
"53","KONGOLA","KONGOLA","2019-04-07 09:55:07",,,"30","68"
"54","MAHACANA","MAKANGA","2019-04-07 09:55:54",,,"30","68"
"55","LISELO","KATIMA MULILO","2019-04-07 09:56:17",,,"30","68"
"56","KATIMA EAST DISTRICT","KATIMA MULILO","2019-04-07 10:57:11",,,"30","0"
"57","RUNDU","RUNDU","2019-04-07 10:57:35",,,"30","0"
"58","SAUYEMWA","RUNDU","2019-04-07 10:57:59",,,"30","51"
